id,corridor_id,source_code,source_name,source_region,source_income,source_lending,source_G8G20,destination_code,destination_name,destination_region,destination_income,destination_lending,destination_G8G20,payment instrument,access point,speed actual,receiving network coverage,pickup method,date,cc1 lcu amount,cc1 denomination amount,cc1 lcu code,cc1 lcu fee,cc1 lcu fx rate,cc1 fx margin,cc1 total cost %,cc2 lcu amount,cc2 denomination amount,cc2 lcu code,cc2 lcu fee,cc2 lcu fx rate,cc2 fx margin,cc2 total cost %,inter lcu bank fx,transparent,Standard Note,note2,regulatory_risk_score,fx_volatility,aml_risk_index,correspondent_network_depth,transfer_time_estimate_days,composite_cost_score,political_stability_index,regulatory_quality_score,rule_of_law_index,government_effectiveness,financial_system_development,banking_sector_stability,payment_system_efficiency,aml_effectiveness_score,tax_transparency_score,reporting_requirements_index,currency_convertibility_score,capital_mobility_index,treaty_network_density,financial_sanctions_risk,dispute_resolution_mechanism,bilateral_tax_treaty_strength,double_taxation_avoidance,information_exchange_agreement,jurisdictional_hops_count,regulatory_domain_changes,currency_conversions_count,withholding_tax_rate,financial_transaction_tax,compliance_documentation_cost,settlement_risk_index
11,BRA-RUS,BRA,Brazil,Latin America & Caribbean,Upper middle income,Medium,G8G20,RUS,Russia,Europe & Central Asia,Upper middle income,Medium,G8G20,Bank Transfer,Agent Network,3-7 days,High,Branch,2024-08-01,866,11.55,PHP,12.69,12.1205,0.0061,0.0208,903,12.85,USD,8.77,22.2961,0.0183,0.028,0.0137,Opaque,High AML checks required,,0.805,0.146,0.642,4,5,0.3138,0.4330381995727215,0.6944501524490944,0.6890314694808886,0.4815181217977948,0.7656051355093186,0.6795337112323798,0.7386472191993388,0.7776151579184737,0.5205534260796556,0.4595516602771013,0.5632582684449372,0.5221027658041475,0.5407477948703076,0.3090617630220027,0.6332028959196023,0.6492619898843229,1,0,4,1,2,0.104,0.0079,16.17,0.39438987686250454
12,JPN-CHE,JPN,Japan,East Asia & Pacific,High income,High,G8G20,CHE,Switzerland,Europe,High income,High,No,Bank Transfer,Correspondent Bank,3-7 days,High,Agent,2022-09-22,1533,21.27,KES,8.71,30.0082,0.016,0.0217,1568,21.83,INR,18.82,54.7517,0.0141,0.0261,0.0116,Transparent,High AML checks required,,0.477,0.075,0.181,4,3,0.1555,0.7515602270253489,0.974424089258878,0.7182411800114452,1.0,0.9250800817318008,0.727141093230046,0.7114929002326665,0.8078966898291823,0.7231844657608979,0.835680059291051,0.9267885149488254,0.8112605304811753,0.6483847538317914,0.3317816669623037,0.7464182057519575,0.8527678553188167,0,1,2,0,1,0.191,0.0116,9.13,0.19411242957156918
13,NGA-UKR,NGA,Nigeria,Sub-Saharan Africa,Lower middle income,Low,No,UKR,Ukraine,Europe & Central Asia,Lower middle income,Low,No,Mobile Wallet,Bank Branch,Same day,High,Mobile Wallet,2024-09-13,697,12.2,USD,8.34,20.5475,0.0158,0.0278,707,10.4,PHP,5.46,56.0683,0.0068,0.0145,0.011,Opaque,Correspondent path uses two intermediaries,,0.395,0.047,0.858,8,3,0.2718,0.3756912492956245,0.2505113465545614,0.3707817111021418,0.4262380855674604,0.343937107655864,0.4484470127134633,0.4469850462135199,0.2128435642603252,0.392934483241794,0.4172941431641881,0.5999661491810332,0.5464562462441883,0.184679675845149,0.6625390047898148,0.4618042320650391,0.411654314109465,0,1,2,1,3,0.044,0.0103,133.2,0.6790354725879241
14,BRA-KEN,BRA,Brazil,Latin America & Caribbean,Upper middle income,Medium,G8G20,KEN,Kenya,Sub-Saharan Africa,Low income,Low,No,Mobile Wallet,Correspondent Bank,2-5 days,Medium,ATM,2024-10-07,1493,23.44,PHP,27.18,42.1177,0.0105,0.0287,1447,24.98,GBP,9.72,79.9688,0.0149,0.0216,0.0091,Opaque,Requires documentation for large amounts,,0.711,0.056,0.84,6,1,0.3354,0.6118057223567258,1.0,0.6185068612831801,0.7162678768216719,0.7644802116191843,0.7081669501566957,0.6021676906431586,0.6410763064591921,0.4572609742554914,0.521581767191199,0.6117563742605077,0.6298248967263588,0.8277590280008211,0.5740718231110098,0.6823512228449418,0.3564740954572418,1,1,1,1,1,0.081,0.0137,113.48,0.22040637064106428
15,UKR-TUR,UKR,Ukraine,Europe & Central Asia,Lower middle income,Low,No,TUR,Turkey,Europe & Central Asia,Upper middle income,Medium,No,Mobile Wallet,Mobile App,1-2 days,Medium,Agent,2021-01-15,1265,90.52,AUD,15.9,47.5497,0.0109,0.0235,1274,154.88,PHP,15.98,52.4681,0.0183,0.0308,0.0104,Transparent,Correspondent path uses two intermediaries,,0.731,0.102,0.227,2,1,0.2188,0.2933681761052679,0.5306740716360838,0.3577136022914555,0.2506706266484833,0.3641635548888037,0.5115517298721611,0.3523560041939435,0.3759750307498369,0.3554686207884576,0.2718079582873019,0.7272732907190391,0.4960702826781613,0.1069828896010871,0.5276254822276687,0.3205856242277934,0.4522920001755468,1,1,4,0,2,0.244,0.013,148.88,0.4430098600984361
16,NGA-GBR,NGA,Nigeria,Sub-Saharan Africa,Lower middle income,Low,No,GBR,United Kingdom,Europe,High income,High,G8G20,Remittance Service,Agent Network,Same day,Medium,Branch,2024-03-26,5462,84.23,KES,59.61,77.6688,0.0113,0.0222,5468,135.45,GBP,72.63,59.8162,0.0188,0.0321,0.0116,Transparent,Prefer local bank transfer where possible,,0.376,0.035,0.13,8,0,0.1284,0.2548975113880759,0.386231627023972,0.4105984734776548,0.4838906233004145,0.3059644311533068,0.3898598516990862,0.3830065626606852,0.2716004920911545,0.5618545088337316,0.3985978053153146,0.3186939254797946,0.5301434336465731,0.604658743641516,0.4261041687338625,0.2176756040855183,0.2918919112560498,1,1,3,0,1,0.247,0.0085,62.53,0.5825254964910833
17,NOR-MEX,NOR,Norway,Europe,High income,High,No,MEX,Mexico,Latin America & Caribbean,Upper middle income,Medium,G8G20,Card Transfer,Mobile App,Same day,High,Agent,2024-10-11,1226,32.68,NGN,12.56,46.3535,0.0134,0.0236,1168,336.68,ZAR,5.31,70.0097,0.0066,0.0111,0.0077,Transparent,Standard corridor - no special restrictions,,0.584,0.074,0.499,2,0,0.234,0.9020293379023948,0.7150796641257464,0.8032583313775474,0.8729560864115204,0.73876834341063,0.8228569572725839,0.4510479191917113,0.6270734830398852,0.7196918218328208,0.6002660181642181,1.0,0.6483830346447241,0.697194661596362,0.134311130725669,0.972952794687934,0.5776965418584673,0,0,2,2,3,0.128,0.0085,65.33,0.12846026555986917
18,CAN-IRL,CAN,Canada,North America,High income,High,G8G20,IRL,Ireland,Europe,High income,High,No,Bank Transfer,Bank Branch,1-2 days,Medium,Agent,2023-08-06,654,141.91,KES,11.23,54.3628,0.0192,0.0364,669,8.57,EUR,1.94,67.6932,0.0131,0.016,0.0069,Transparent,High AML checks required,,0.1,0.047,0.699,4,1,0.186,0.8895796502585951,0.8012279673223505,0.6322189618742459,0.8354524169115926,0.8738871634688163,0.7579739747409446,0.8483762501988023,0.7037623683765888,0.7636220814301498,0.8294556809425256,1.0,0.6714621401407782,1.0,0.3842505359427002,0.78178578859573,0.8205980647781492,0,0,3,1,3,0.234,0.0028,29.99,0.28770967991143287
19,RUS-NOR,RUS,Russia,Europe & Central Asia,Upper middle income,Medium,G8G20,NOR,Norway,Europe,High income,High,No,Card Transfer,Correspondent Bank,Same day,High,ATM,2021-12-07,1237,28.01,PHP,9.95,60.8834,0.0037,0.0117,1293,21.85,INR,18.97,47.3429,0.004,0.0187,0.0229,Opaque,Correspondent path uses two intermediaries,,0.24,0.032,0.657,7,0,0.1946,0.583719024128204,0.5252760576215288,0.525025329957127,0.5208398878409402,0.5792762291666946,0.731952251642523,0.6828418583158057,0.4668508485687215,0.6579519850519902,0.5868759425051931,0.7675434542606753,0.6955554610308335,0.4505205986893513,0.4172217248236363,0.6896752326147915,0.6232444318520158,1,0,1,2,3,0.131,0.0103,21.8,0.3410371109374547
20,MEX-ZAF,MEX,Mexico,Latin America & Caribbean,Upper middle income,Medium,G8G20,ZAF,South Africa,Sub-Saharan Africa,Upper middle income,Medium,G8G20,Card Transfer,Bank Branch,1-2 days,Low,Mobile Wallet,2022-08-08,8084,204.23,ZAR,49.44,37.1605,0.0095,0.0156,8002,161.79,CNY,73.94,32.1548,0.0128,0.022,0.0104,Opaque,Requires documentation for large amounts,,0.952,0.082,0.864,7,1,0.382,0.5474918087243023,0.614079285997054,0.703319787494611,0.5090114333397004,0.7156516857404046,0.6057368817079327,0.6138782556127336,0.6818532222384628,0.6490499618785637,0.6476211563200767,0.8266574568585195,0.6225204609959312,0.6318343565553957,0.3872320107912147,0.6388999622986131,0.5343828334758779,1,0,2,2,3,0.073,0.0117,88.91,0.28052355583976507
21,IDN-ESP,IDN,Indonesia,East Asia & Pacific,Lower middle income,Medium,G8G20,ESP,Spain,Europe,High income,High,G8G20,Mobile Wallet,Mobile App,1-2 days,Very High,Mobile Wallet,2021-04-28,2120,812.99,AUD,17.38,49.998,0.0106,0.0188,2096,40.59,PHP,28.61,39.2224,0.0161,0.0297,0.0105,Transparent,High AML checks required,,0.416,0.067,0.312,1,1,0.1698,0.3616395157991262,0.4714188430524296,0.2518135180119832,0.6310864730822552,0.3292779142200357,0.2842973664654721,0.5789733048200081,0.4449995232755522,0.4248943780462586,0.4254014611117135,0.4685303872583702,0.3123294754217002,0.3590965469832471,0.6312594053814534,0.5170143680101301,0.3323531142197433,0,1,2,0,3,0.067,0.0095,57.82,0.8258778522705865
22,MEX-TUR,MEX,Mexico,Latin America & Caribbean,Upper middle income,Medium,G8G20,TUR,Turkey,Europe & Central Asia,Upper middle income,Medium,No,Remittance Service,Correspondent Bank,1-2 days,Very High,ATM,2024-10-14,2135,31.55,USD,17.36,59.3743,0.0082,0.0163,2163,30.79,EUR,30.83,24.3319,0.0158,0.0301,0.0139,Transparent,Standard corridor - no special restrictions,,0.493,0.016,0.18,4,3,0.1578,0.4509403363848986,0.5614336990016409,0.599551774513075,0.5123530536635231,0.5513335525320282,0.6592424653790295,0.6693959885330467,0.4891668189554645,0.4934754033258013,0.5778459924829163,0.4962298790203211,0.4511043470748135,0.4637866934497077,0.3756136582054217,0.6373089078717606,0.7270427460339463,1,1,4,2,3,0.232,0.0065,16.65,0.4229068439416157
23,DEU-UKR,DEU,Germany,Europe,High income,High,G8G20,UKR,Ukraine,Europe & Central Asia,Lower middle income,Low,No,Mobile Wallet,Correspondent Bank,2-5 days,High,Home Delivery,2022-06-19,2801,40.75,ZAR,26.31,36.75,0.0141,0.0235,2690,37.23,AUD,38.34,43.1938,0.0089,0.0232,0.0166,Transparent,High AML checks required,,0.314,0.096,0.351,4,7,0.1564,0.8529191547842423,0.7808073764043888,0.7477180550516773,0.659696476243463,0.8477784236809132,0.7953609633295834,0.8787262272405707,0.6507322867737213,0.8123215817089406,0.9339286695603092,0.8569487821851771,0.8682054066518731,0.8328172790053335,0.1981464566263003,0.82689109781725,0.7515110880938154,0,1,1,1,2,0.043,0.0144,133.61,0.2581033845625509
24,NGA-KEN,NGA,Nigeria,Sub-Saharan Africa,Lower middle income,Low,No,KEN,Kenya,Sub-Saharan Africa,Low income,Low,No,Bank Transfer,Agent Network,2-5 days,Very High,Mobile Wallet,2021-07-24,1107,14.55,USD,17.42,38.3936,0.0153,0.031,1084,40.71,INR,16.95,67.3884,0.0167,0.0323,0.0051,Transparent,Prefer local bank transfer where possible,,0.599,0.007,0.719,2,5,0.2952,0.3617211318258598,0.307238825937344,0.3529412209110731,0.4397597949494539,0.6241372329354049,0.5451124991302249,0.6983818949013867,0.257918292453434,0.4546784764064813,0.3720010406886022,0.7327763519861206,0.3230042057573818,0.2492333789383068,0.6219271174532828,0.1451325130828231,0.2869093973983087,1,0,4,0,2,0.145,0.0015,33.76,0.47903021765438525
25,ZAF-TUR,ZAF,South Africa,Sub-Saharan Africa,Upper middle income,Medium,G8G20,TUR,Turkey,Europe & Central Asia,Upper middle income,Medium,No,Bank Transfer,Agent Network,3-7 days,Very High,Mobile Wallet,2024-12-11,934,78.7,NGN,8.44,64.8476,0.0059,0.0149,895,15.92,CNY,10.72,6.6485,0.0154,0.0274,0.0161,Transparent,Prefer local bank transfer where possible,,0.773,0.056,0.28,5,0,0.2318,0.2589040806135562,0.4180472543771449,0.3910107170932591,0.6051405007059063,0.564050860582326,0.3607715613205116,0.332190239438197,0.4090303005807806,0.1915720151575229,0.5697750519025224,0.6115328144865544,0.3636989217474354,0.1444238565090947,0.3875353151001505,0.3862552185696858,0.4985379574368154,0,1,2,1,2,0.139,0.0183,113.54,0.5846740730569782
26,NOR-ARG,NOR,Norway,Europe,High income,High,No,ARG,Argentina,Latin America & Caribbean,Upper middle income,Medium,G8G20,Mobile Wallet,Correspondent Bank,1-2 days,High,Home Delivery,2025-03-01,5367,86.17,EUR,20.87,77.0869,0.0179,0.0218,5158,130.04,CNY,56.36,5.2576,0.0103,0.0212,0.0189,Transparent,Standard corridor - no special restrictions,,0.466,0.085,0.416,3,1,0.1979,0.5586686809446759,0.7280749972455474,0.750629243966182,0.7856376712517691,0.7959921434224907,0.9047419918816998,0.7118855484740887,0.7329144617974448,0.7644354758054278,0.8117326600870499,0.9553937853706668,0.6850429489794557,0.5659062995117253,0.0,0.839877681437551,0.6601816156132135,1,1,1,1,1,0.185,0.0004,45.92,0.2633107107651839
27,PHL-SAU,PHL,Philippines,East Asia & Pacific,Lower middle income,Medium,No,SAU,Saudi Arabia,Middle East & North Africa,High income,High,G8G20,Bank Transfer,Agent Network,1-2 days,High,Home Delivery,2021-07-09,3140,171.81,CNY,27.62,81.8923,0.0111,0.0199,3006,67.5,PHP,33.22,82.4061,0.0257,0.0368,0.0128,Transparent,Standard corridor - no special restrictions,,0.285,0.126,0.616,7,7,0.2086,0.5361382370627027,0.413880956115143,0.4915156620876592,0.388102217769213,0.6972897509858385,0.6406409010931845,0.4101243021825111,0.4665885141145226,0.4274451139502176,0.5142357869038818,0.3542091847303874,0.5023261751998127,0.4770109384219505,0.7610487383707738,0.2580089784801069,0.1052921386687879,0,0,2,0,1,0.125,0.0192,122.87,0.5118807707093237
28,USA-IND,USA,United States,North America,High income,High,G8G20,IND,India,South Asia,Lower middle income,High,No,Bank Transfer,Mobile App,Instant,Medium,Agent,2021-01-20,7730,1879.41,KES,74.73,52.9012,0.0149,0.0246,7558,489.01,PHP,18.93,49.8189,0.0088,0.0113,0.0034,Opaque,Prefer local bank transfer where possible,,0.404,0.087,0.875,2,1,0.2738,0.7176711798666531,0.8861050706955155,0.9302828462515234,0.7888913736503731,1.0,0.664387825014213,0.6355941072773814,0.7433342761324058,0.7960878538727169,0.7460766302287088,0.6219069479952148,0.8093055952584655,0.5934636599394176,0.0696392941403953,0.8439917895316218,0.6372144256407174,1,1,1,1,2,0.068,0.0092,22.17,0.29508376220148064
29,UKR-ESP,UKR,Ukraine,Europe & Central Asia,Lower middle income,Low,No,ESP,Spain,Europe,High income,High,G8G20,Remittance Service,Correspondent Bank,Same day,Medium,Agent,2022-09-24,629,8.43,PHP,9.75,73.6824,0.0159,0.0314,660,52.98,EUR,6.02,50.704,0.014,0.0231,0.0094,Transparent,Standard corridor - no special restrictions,,0.391,0.078,0.0,6,1,0.1054,0.2883359699195967,0.2728943773733258,0.3424785083272194,0.4946170784601486,0.3317128744397347,0.4904855818621413,0.376369085795307,0.2548552601285186,0.337156356805453,0.225770921309675,0.4035620833583381,0.2762546528893381,0.5857670159499667,0.5457683737633926,0.3160329390408897,0.3756775892881066,1,1,2,0,1,0.042,0.0083,114.63,0.5779233572097434
30,UKR-JPN,UKR,Ukraine,Europe & Central Asia,Lower middle income,Low,No,JPN,Japan,East Asia & Pacific,High income,High,G8G20,Bank Transfer,Mobile App,Instant,Medium,Branch,2022-04-30,879,176.44,PHP,9.47,84.9761,0.0115,0.0223,923,20.67,ZAR,8.49,38.571,0.0157,0.0249,0.0004,Opaque,Correspondent path uses two intermediaries,,0.43,0.102,0.977,3,1,0.305,0.3365206340371004,0.3734836480560132,0.423700004005211,0.4709009252056766,0.3863398622867366,0.3609018111226384,0.4069937963418026,0.0737694602317298,0.1681770725361737,0.5140249120933429,0.667396125620154,0.3901156752532346,0.4191868355666919,0.5126499814547757,0.7694656970146285,0.4843489893721492,0,0,3,1,1,0.155,0.0051,19.23,0.6149967500248068
31,UKR-AUS,UKR,Ukraine,Europe & Central Asia,Lower middle income,Low,No,AUS,Australia,Oceania,High income,High,G8G20,Bank Transfer,Agent Network,Instant,High,ATM,2023-02-23,2359,56.35,GBP,18.29,65.7609,0.0159,0.0237,2371,52.58,CNY,26.72,74.5772,0.0059,0.0172,0.0081,Transparent,Standard corridor - no special restrictions,,0.573,0.096,0.322,1,0,0.1995,0.3346498890223079,0.2853351471279489,0.1572264415690913,0.4044156363040668,0.3592379105658835,0.2593295548482791,0.3624112538908968,0.2202142395662726,0.5524569962087078,0.455796770833934,0.4690432830420059,0.597593296666803,0.3592841969177142,0.6533541041593917,0.5827748892723588,0.414669205242159,1,1,3,0,3,0.18,0.0002,69.8,0.5777952065324724
32,NGA-ZAF,NGA,Nigeria,Sub-Saharan Africa,Lower middle income,Low,No,ZAF,South Africa,Sub-Saharan Africa,Upper middle income,Medium,G8G20,Card Transfer,Online Portal,1-2 days,Very High,Home Delivery,2023-03-28,1375,48.46,GBP,6.61,37.4666,0.0172,0.022,1431,50.77,GBP,24.34,34.0079,0.0124,0.0294,0.0169,Transparent,Correspondent path uses two intermediaries,,0.65,0.07,0.543,6,1,0.2643,0.2255304614808252,0.3771593586299669,0.2449258095938291,0.2140640322842796,0.5611413057037969,0.6591299968564157,0.272171891141703,0.4175563084028685,0.2719228917053807,0.2915449539482364,0.3989127290913357,0.3163211076384221,0.3558225953533792,0.6497140139693246,0.4324548190935806,0.3439714268661035,1,1,4,2,3,0.142,0.0055,111.43,0.8722733821410725
33,POL-GBR,POL,Poland,Europe,High income,Medium,No,GBR,United Kingdom,Europe,High income,High,G8G20,Remittance Service,Agent Network,1-2 days,High,Mobile Wallet,2022-06-19,2458,61.97,PHP,24.34,28.2795,0.0035,0.0134,2354,219.06,NGN,32.2,11.3199,0.0054,0.0191,0.0134,Opaque,Standard corridor - no special restrictions,,0.462,0.061,1.0,3,1,0.3087,0.5213262343760309,0.4910923605550084,0.4807874403318001,0.6706469470990908,0.7101100625149257,0.5126933706241739,0.6519198766515071,0.6401664548046148,0.3496713662654354,0.6152032230855923,0.5904851489264984,0.6884718402311792,0.458408901214898,0.5665858520797422,0.4046949074540206,0.5557701935993659,1,0,3,1,1,0.185,0.0022,30.12,0.4483803330314479
